8,0.02|24|30000000
9,0.02|41|30000000
10,0.02|58|30000000
11,0.02|75|30000000
12,0.02|92|30000000
13,0.02|109|30000000
14,0.02|126|30000000
15,0.02|143|30000000
24,0.02|40|30000000
25,0.02|57|30000000
26,0.02|74|30000000
27,0.02|91|30000000
28,0.02|108|30000000
29,0.02|125|30000000
30,0.02|142|30000000
31,0.02|15|30000000
40,0.02|56|30000000
41,0.02|73|30000000
42,0.02|90|30000000
43,0.02|107|30000000
44,0.02|124|30000000
45,0.02|141|30000000
46,0.02|14|30000000
47,0.02|31|30000000
56,0.02|72|30000000
57,0.02|89|30000000
58,0.02|106|30000000
59,0.02|123|30000000
60,0.02|140|30000000
61,0.02|13|30000000
62,0.02|30|30000000
63,0.02|47|30000000
72,0.02|88|30000000
73,0.02|105|30000000
74,0.02|122|30000000
75,0.02|139|30000000
76,0.02|12|30000000
77,0.02|29|30000000
78,0.02|46|30000000
79,0.02|63|30000000
88,0.02|104|30000000
89,0.02|121|30000000
90,0.02|138|30000000
91,0.02|11|30000000
92,0.02|28|30000000
93,0.02|45|30000000
94,0.02|62|30000000
95,0.02|79|30000000
104,0.02|120|30000000
105,0.02|137|30000000
106,0.02|10|30000000
107,0.02|27|30000000
108,0.02|44|30000000
109,0.02|61|30000000
110,0.02|78|30000000
111,0.02|95|30000000
120,0.02|136|30000000
121,0.02|9|30000000
122,0.02|26|30000000
123,0.02|43|30000000
124,0.02|60|30000000
125,0.02|77|30000000
126,0.02|94|30000000
127,0.02|111|30000000
136,0.02|8|30000000
137,0.02|25|30000000
138,0.02|42|30000000
139,0.02|59|30000000
140,0.02|76|30000000
141,0.02|93|30000000
142,0.02|110|30000000
143,0.02|127|30000000
